category,component_ko,component_en,primary_purpose,required_variants,required_states,accessibility_requirement,figma_note
Identity,공식 배너,Masthead,공식 전자정부 서비스 식별,default,visible focus,공식성 안내 텍스트가 스크린 리더에서 읽혀야 함,Header보다 상위 레이어에 배치
Identity,운영기관 식별자,Identifier,서비스 운영 주체 식별,default compact,default,기관명과 상위 기관 관계가 명확해야 함,기관별 교체 영역을 component property로 관리
Identity,헤더,Header,브랜드와 핵심 탐색 제공,desktop mobile open-search open-menu,default hover focus expanded,검색/메뉴/언어/설정 버튼에 접근 가능한 이름 제공,반응형 large/small variant 필수
Identity,푸터,Footer,보조 탐색과 문의/저작권 정보 제공,desktop mobile,default focus,링크 목적을 구체적으로 제공,연락처/메일/GitHub/Figma slot 분리
Navigation,건너뛰기 링크,Skip link,반복 영역을 건너뛰고 본문으로 이동,hidden visible,focus,키보드 focus 진입 시 화면에 보여야 함,visible state를 별도 variant로 보존
Navigation,메인 메뉴,Main menu,1차 메뉴 탐색,desktop mobile depth-1 depth-2,default hover focus selected expanded,현재 메뉴와 펼침 상태 전달,메뉴 item을 component set으로 관리
Navigation,브레드크럼,Breadcrumb,현재 위치와 상위 계층 안내,desktop mobile,default current focus,현재 페이지는 aria-current 의미 제공,current item variant
Navigation,사이드 메뉴,Side navigation,문서 내 하위 구조 탐색,depth-1 depth-2 depth-3,default hover focus selected expanded,선택/펼침 상태 전달,긴 문서용 sticky frame 포함
Navigation,콘텐츠 내 탐색,In-page navigation,본문 섹션 목차와 스크롤 이동,sticky inline,default hover focus selected,현재 섹션 상태 전달,section anchor mapping annotation
Navigation,페이지네이션,Pagination,목록 페이지 이동,numbered compact mobile,default hover focus current disabled,현재 페이지와 이전/다음 비활성 상태 전달,page item min touch target
Navigation,링크,Link,다른 화면 또는 섹션 이동,inline standalone external,default hover focus visited disabled,링크 목적이 텍스트로 이해되어야 함,external icon property
Layout,구조화 목록,Structured list,관련 콘텐츠 집합의 스캔과 상세 이동,list card compact,default hover focus selected empty,항목 전체 클릭 시 접근 가능한 이름 제공,metadata slot 분리
Layout,긴급 공지,Critical alerts,긴급/중요 정보 전달,info warning danger,default focus dismissible,중요 상태를 색상만으로 전달하지 않음,icon and severity property
Layout,달력,Calendar,날짜 정보와 선택 지원,single range month,default hover focus selected disabled today,키보드로 날짜 이동/선택 가능,grid semantics annotation
Layout,디스클로저,Disclosure,부가 정보 표시/숨김,default compact,collapsed expanded focus disabled,expanded 상태 전달,trigger and panel instance group
Layout,모달,Modal,단일 과업 또는 메시지 집중,alert dialog fullscreen mobile,open focus closing,포커스 트랩과 닫기 후 포커스 복귀,overlay and dialog separated
Layout,배지,Badge,상태/분류/메타데이터 표시,neutral info success warning danger,count text,default,상태 의미를 텍스트나 아이콘으로 보완,color semantic token
Layout,아코디언,Accordion,관련 콘텐츠 섹션 확장/축소,single multiple,collapsed expanded focus disabled,버튼 역할과 expanded 상태 전달,item component set
Layout,이미지,Image,시각 정보 전달,ratio-1-1 ratio-4-3 ratio-16-9 caption,default loading error,대체 텍스트 또는 숨긴 콘텐츠 제공,alt text note field
Layout,캐러셀,Carousel,한 영역에서 복수 콘텐츠 순환,manual autoplay,default focus paused playing,자동 재생 정지 수단 제공,controls visible by default
